Name,H-Index
David S. Johnson,132
Jiawei Han,169
Rob Knight,166
William H. Press,76
Stephen Boyd,112
Scott Shenker,154
Chuen-Tsai Sun,148
Jeffrey Ullman,111
Deborah Estrin,126
Philip S. Yu,155
Christopher D Manning,114
Ion Stoica,126
Ian H. Witten,80
Trevor Darrell,118
David Patterson,103
Judea Pearl,98
hector garcia-molina,137
Chih-Jen Lin,65
Jian Pei,85
Ben Shneiderman,117
Manolis Kellis,104
Jason Rafe Miller,96
Jon Kleinberg,103
Johnson Thomas,143
Alfred Aho,68
Allen Newell,81
Leon Chua,123
Robert Tarjan,113
Azmed Zweil,130
Stuart Russell,76
Scott Kirkpatrick,62
Francisco Herrera,136
Li Fei-Fei,93
Dan Boneh,111
Eibe Frank,50
David Blei,83
martin vetterli,113
Wolfram Burgard,106
Henning Schulzrinne,90
Chris Taylor,104
Ronald Graham,82
Andrew McCallum,98
Gerard Salton (1927-1995),65
George Karypis,91
William T. Freeman,108
Robert M. Haralick,77
David Wishart,103
Ramesh Jain,95
Robert Morris,73
Lixia Zhang,99
